City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
105,Katsuura,JP,2021-03-27 18:26:18,35.1333,140.3,61.0,73,100,3.0
106,Bako,ET,2021-03-27 18:28:22,5.7833,36.5667,72.18,38,100,2.93
107,Saint-Pierre,RE,2021-03-27 18:29:31,-21.3393,55.4781,77.0,94,0,3.44
108,Bethel,US,2021-03-27 18:22:07,41.3712,-73.414,64.0,39,90,6.91
109,Salalah,OM,2021-03-27 18:26:05,17.0151,54.0924,80.6,74,0,4.61
110,Porosozero,RU,2021-03-27 18:29:31,62.7191,32.727,32.65,95,84,6.73
111,Kavieng,PG,2021-03-27 18:26:15,-2.5744,150.7967,81.07,79,95,14.34
112,Esperance,AU,2021-03-27 18:26:24,-33.8667,121.9,59.0,94,72,6.91
113,Laguna,US,2021-03-27 18:29:32,38.421,-121.4238,64.99,39,1,6.91
114,Hambantota,LK,2021-03-27 18:23:51,6.1241,81.1185,77.0,100,75,2.3
115,Los Llanos De Aridane,ES,2021-03-27 18:27:38,28.6585,-17.9182,69.8,56,75,6.91
116,Ambilobe,MG,2021-03-27 18:29:32,-13.2,49.05,74.53,95,100,2.1
117,Arkhara,RU,2021-03-27 18:29:32,49.4212,130.0842,33.4,94,100,5.35
118,Neryungri,RU,2021-03-27 18:29:33,56.6709,124.6491,20.5,96,100,3.13
119,East London,ZA,2021-03-27 18:26:06,-33.0153,27.9116,66.2,68,0,13.8
120,Mackay,AU,2021-03-27 18:29:33,-21.15,149.2,69.8,94,0,4.61
121,Port Elizabeth,ZA,2021-03-27 18:25:41,-33.918,25.5701,62.6,77,0,11.5
122,New Norfolk,AU,2021-03-27 18:26:31,-42.7826,147.0587,52.0,82,62,3.98
123,Saldanha,ZA,2021-03-27 18:26:32,-33.0117,17.9442,60.8,63,0,14.97
124,Sitka,US,2021-03-27 18:23:58,57.0531,-135.33,33.8,93,90,9.22
125,Garowe,SO,2021-03-27 18:29:34,8.4054,48.4845,77.49,60,40,18.07
126,Cherskiy,RU,2021-03-27 18:25:54,68.75,161.3,-22.23,99,31,5.12
127,Inirida,CO,2021-03-27 18:25:08,3.8653,-67.9239,84.79,74,77,2.13
128,Jamestown,US,2021-03-27 18:25:42,42.097,-79.2353,61.0,54,1,7.11
129,Avera,US,2021-03-27 18:25:59,33.194,-82.5271,79.0,78,40,11.5
130,Svetlogorsk,BY,2021-03-27 18:27:01,52.6333,29.7333,44.96,65,22,3.22
131,Boralday,KZ,2021-03-27 18:29:35,43.3578,76.8594,50.0,93,90,17.9
132,Ola,RU,2021-03-27 18:29:35,59.5833,151.2833,-6.27,98,97,5.14
133,Antofagasta,CL,2021-03-27 18:29:36,-23.65,-70.4,73.0,63,20,12.66
134,Siocon,PH,2021-03-27 18:29:36,7.7061,122.1353,78.58,84,91,7.31
135,Marsassoum,SN,2021-03-27 18:29:36,12.8275,-15.9806,95.0,43,0,11.5
136,Kavaratti,IN,2021-03-27 18:26:44,10.5669,72.642,84.2,74,98,8.88
