City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
114,Vila Velha,BR,-20.3297,-40.2925,75.99,88,0,3.44,clear sky
115,Havre-Saint-Pierre,CA,50.2334,-63.5986,28.4,69,90,12.66,overcast clouds
116,Geraldton,AU,-28.7667,114.6,69.8,73,12,5.75,few clouds
117,Tornio,FI,65.8481,24.1466,32.0,100,20,5.75,few clouds
118,Namibe,AO,-15.1961,12.1522,73.6,76,37,3.2,light rain
119,Klaksvik,FO,62.2266,-6.589,41.0,87,20,12.66,few clouds
120,Leningradskiy,RU,69.3833,178.4167,-3.35,91,100,5.59,overcast clouds
121,Baoding,CN,38.8511,115.4903,52.43,22,100,4.43,overcast clouds
122,Kudahuvadhoo,MV,2.6708,72.8944,79.72,82,100,7.61,heavy intensity rain
123,Qaanaaq,GL,77.484,-69.3632,-20.81,75,66,5.91,broken clouds
124,Christchurch,NZ,-43.5333,172.6333,80.01,38,13,10.36,moderate rain
125,Tuatapere,NZ,-46.1333,167.6833,62.01,89,72,11.99,broken clouds
126,Muroto,JP,33.2833,134.15,55.4,82,20,3.44,fog
127,Paamiut,GL,61.994,-49.6678,6.8,79,1,9.69,clear sky
128,Tulun,RU,54.5611,100.5792,24.3,96,100,2.35,overcast clouds
129,Mamallapuram,IN,12.6264,80.1722,78.8,94,40,4.61,mist
130,Mtsensk,RU,53.2766,36.5733,32.36,95,100,4.45,overcast clouds
131,Thompson,CA,55.7435,-97.8558,26.6,59,90,6.91,snow
132,Kuybysheve,UA,47.358,36.6491,40.1,79,65,2.77,broken clouds
133,Tacuarembo,UY,-31.7333,-55.9833,63.27,74,81,5.3,broken clouds
134,Khatanga,RU,71.9667,102.5,-2.67,97,100,7.72,overcast clouds
135,Esperance,AU,-33.8667,121.9,68.0,68,0,13.8,clear sky
136,Bell Ville,AR,-32.6259,-62.6887,60.01,89,14,4.76,few clouds
137,Sitka,US,57.0531,-135.33,39.2,48,20,16.11,few clouds
138,San Patricio,US,28.017,-97.5169,60.8,72,90,13.8,overcast clouds
139,Lebu,CL,-37.6167,-73.65,55.99,93,2,11.83,clear sky
140,Eureka,US,40.8021,-124.1637,52.0,79,3,7.0,clear sky
141,West Bay,KY,19.3667,-81.4167,84.2,65,40,9.22,scattered clouds
142,Arraial Do Cabo,BR,-22.9661,-42.0278,77.81,88,56,8.25,broken clouds
143,Lompoc,US,34.6391,-120.4579,66.99,72,0,13.8,clear sky
144,Imbituba,BR,-28.24,-48.6703,77.0,88,75,4.61,broken clouds
145,Shinpokh,PK,34.3292,71.1782,69.8,64,75,6.91,haze
146,Broome,US,42.2506,-75.833,48.0,81,75,6.91,light rain
147,Port Elizabeth,ZA,-33.918,25.5701,64.4,77,0,12.66,clear sky
148,Merritt,CA,50.1123,-120.7942,37.4,81,90,10.36,snow
149,Izumo,JP,35.3667,132.7667,60.8,67,75,5.75,broken clouds
150,Sorrento,IT,40.626,14.3744,55.99,93,0,2.3,clear sky
151,Havoysund,NO,70.9963,24.6622,30.2,69,0,5.75,clear sky
152,Shimoda,JP,34.6667,138.95,69.01,88,20,8.05,few clouds
153,Cidreira,BR,-30.1811,-50.2056,73.24,83,30,5.3,scattered clouds
154,Rancho Palos Verdes,US,33.7445,-118.387,73.4,23,1,17.27,clear sky
155,Bengkulu,ID,-3.8004,102.2655,76.44,90,98,3.47,overcast clouds
156,Batticaloa,LK,7.7102,81.6924,77.11,80,79,6.89,broken clouds
157,North Platte,US,41.1239,-100.7654,68.0,21,1,11.5,clear sky
158,Alofi,NU,-19.0595,-169.9187,82.4,78,6,18.41,light rain
159,Kumo,NG,10.0447,11.2122,78.75,18,0,13.85,clear sky
160,Ponta Delgada,PT,37.7333,-25.6667,59.0,82,75,11.5,broken clouds
161,Pacific Grove,US,36.6177,-121.9166,62.6,51,1,3.44,clear sky
162,Troitskoye,RU,52.9821,84.6757,33.48,97,100,10.6,overcast clouds
163,Kaitangata,NZ,-46.2817,169.8464,64.99,76,42,4.88,scattered clouds
164,Kambove,CD,-10.8764,26.5969,61.79,97,100,2.55,light rain
165,Nome,US,64.5011,-165.4064,19.99,93,90,29.93,snow
166,Half Moon Bay,US,37.4636,-122.4286,75.2,87,40,12.66,mist
167,Severo-Kurilsk,RU,50.6789,156.125,30.27,71,6,7.31,clear sky
168,Vao,NC,-22.6667,167.4833,77.67,80,13,14.03,few clouds
169,Ternate,ID,0.8,127.4,79.9,82,100,8.75,overcast clouds
170,Sioux Lookout,CA,50.1001,-91.917,32.0,37,75,5.75,broken clouds
171,Ha Tinh,VN,18.3333,105.9,76.08,90,79,2.24,broken clouds
172,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.86,88,45,6.69,scattered clouds
173,Shaowu,CN,27.3409,117.4831,70.83,79,9,2.71,clear sky
174,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,77,75,3.44,broken clouds
175,Tiksi,RU,71.6872,128.8694,5.13,93,100,1.36,overcast clouds
176,Inuvik,CA,68.3499,-133.7218,-4.0,54,85,4.61,overcast clouds
177,Margate,GB,51.3813,1.3862,48.99,71,96,5.01,overcast clouds
178,Aylesbury,GB,51.8167,-0.8146,50.0,83,98,8.99,overcast clouds
